,nama,harga,deskripsi,detail,link
254,Aku Juara Mewarnai Dunia Bawah Laut,"Rp.39,200 ","
          Buku mewarnai dunia bawah laut berisi gambar – gambar yang sangat menarik dan beda daripada yang lainnya. Ukuran lebih besar untuk mendukung aktifitas mewarnai dengan pastel warna. Buku ini dapat digunakan mulai usia 3 tahun keatas, sebagai media belajar dan kegiatan yang membangun kreatifitas pada anak. Mengalihkan ketergantungan menggunakan gadget dan meningkatkan sistem motorik dari aktifitas mewarnai, melatih ketelitian, kesabaran dan emosional pilihan warna yang digunakan. Dicetak ekslusif dengan Cover Glossy dan Finishing Emboss untuk aksen lebih hidup dan fullcolor        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '32 halaman', 'Dimensi': '21 x 29.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Efde Media', 'Penulis': 'Aba Mehmed Agha', 'Berat': '300 gram', 'Product Tags': ' \nbuku keterampilan anak\nefde media\nhadi wibowo\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/aku-juara-mewarnai-dunia-bawah-laut.html
255,Aku Juara Mearnai Bangunan Megah Dunia,"Rp.39,200 ","
          Buku mewarnai bangunan megah dunia berisi gambar – gambar yang sangat menarik dan beda daripada yang lainnya. Ukuran lebih besar untuk mendukung aktifitas mewarnai dengan pastel warna. Buku ini dapat digunakan mulai usia 3 tahun keatas, sebagai media belajar dan kegiatan yang membangun kreatifitas pada anak. Mengalihkan ketergantungan menggunakan gadget dan meningkatkan sistem motorik dari aktifitas mewarnai, melatih ketelitian, kesabaran dan emosional pilihan warna yang digunakan. Dicetak ekslusif dengan Cover Glossy dan Finishing Emboss untuk aksen lebih hidup dan fullcolor.        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '32 halaman', 'Dimensi': '21 x 29.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Efde Media', 'Penulis': 'Aba Mehmed Agha', 'Berat': '300 gram', 'Product Tags': ' \nbuku keterampilan anak\nefde media\nhadi wibowo\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/aku-juara-mearnai-bangunan-megah-dunia.html
256,Ragam Budaya Indonesia Aku Juara Mewarnai,"Rp.39,200 ","
          Buku mewarnai ragam budaya indonesia berisi gambar – gambar yang sangat menarik dan beda daripada yang lainnya. Ukuran lebih besar untuk mendukung aktifitas mewarnai dengan pastel warna. Buku ini dapat digunakan mulai usia 3 tahun keatas, sebagai media belajar dan kegiatan yang membangun kreatifitas pada anak. Mengalihkan ketergantungan menggunakan gadget dan meningkatkan sistem motorik dari aktifitas mewarnai, melatih ketelitian, kesabaran dan emosional pilihan warna yang digunakan. Dicetak ekslusif dengan Cover Glossy dan Finishing Emboss untuk aksen lebih hidup dan fullcolor.        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '32 halaman', 'Dimensi': '21 x 29.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Efde Media', 'Penulis': 'Aba Mehmed Agha', 'Berat': '300 gram', 'Product Tags': ' \nbuku keterampilan anak\nefde media\nhadi wibowo\nketerampilan anak\n\n'}",https://www.solusibuku.com/buku-anak/ragam-budaya-indonesia-aku-juara-mewarnai.html
257,103 Doa Anak Doa SehariHari Wudu Salat Zikir,"Rp.64,000 ","
          ...        ","{'Kategori': 'Keterampilan Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '119 halaman', 'Dimensi': '17 x 24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Media Inspirasi', 'Penulis': 'Esti Utami', 'Berat': '300 gram', 'Product Tags': ' \nbuku pengetahuan anak\nesti utami a.\nmedia inspirasi\npengetahuan anak\n\n'}",https://www.solusibuku.com/buku-anak/103-doa-anak-doa-sehari-hari-wudu-salat-zikir.html
258,Jilid 1  Dongeng Fabel Dinosaurus,"Rp.59,200 ","
          ...        ","{'Kategori': 'Cerita Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '136 halaman', 'Dimensi': '18 x 24 cm ', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Mulasih Tary', 'Berat': '300 gram', 'Product Tags': ' \nbuku childrens books\ncerita anak\nchecklist\nmulasih t\n\n'}",https://www.solusibuku.com/buku-anak/jilid-1-dongeng-fabel-dinosaurus.html
259,Jilid 2  Dongeng Fabel Dinosaurus,"Rp.57,600 ","
...
","{'Kategori': 'Cerita Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '128 halaman', 'Dimensi': '18 x 24 cm ', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Checklist', 'Penulis': 'Mulasih Tary', 'Berat': '300 gram', 'Product Tags': ' \nbuku childrens books\ncerita anak\nchecklist\nmulasih t\n\n'}",https://www.solusibuku.com/buku-anak/jilid-2-dongeng-fabel-dinosaurus.html
260,Natal Ajaib Ibo Bersama Santa Claus,"Rp.28,000 ","
          Nama tokoh utama dalam cerita ini adalah Ibo. Ibo, seorang bocah yang jahil dan punya rasa ingin tahu sangat tinggi. Pada malam natal, Ibo sudah memasang jebakan buat Santa Claus. Ia ingin menangkap Santa dan mencukur jenggot Santa. Tetapi, kelakuan Ibo itu membuat para rusa kaget. Akibatnya, kereta rusa Santa Claus kabur bersama kado-kado yang dibawanya. Ibo harus tanggung jawab!        ","{'Kategori': 'Buku Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '21 Halaman', 'Dimensi': '20 x 20 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Scritto Books', 'Berat': '200 gram', 'Product Tags': ' \nScritto Books\n\n'}",https://www.solusibuku.com/buku-anak/natal-ajaib-ibo-bersama-santa-claus.html
261,Ibo Dan Ponsel Misterius,"Rp.28,000 ","
          Nama tokoh utama dalam cerita ini adalah Ibo. Ibo, seorang bocah yang jahil dan punya rasa ingin tahu sangat tinggi. Ketika di kelas, ia melihat temannya memiliki ponsel canggih. Dalam hati, ia ingin memiliki juga. Ketika sedang bermain di taman, ia kakinya terantuk benda. Ternyata ponsel. Ia gunakan ponsel itu. Klik sana-sini. Anehnya, ketika ia klik, Ibo dibawa ke tempat-tempat sesuai keinginan Ibo. Saking asyiknya, ia tak sadar bahwa dirinya berubah menyerupai monster. Ibo menangis dan minta tolong.        ","{'Kategori': 'Buku Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '21 Halaman', 'Dimensi': '20 x 20 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Scritto Books', 'Berat': '200 gram', 'Product Tags': ' \nScritto Books\n\n'}",https://www.solusibuku.com/buku-anak/ibo-dan-ponsel-misterius.html
262,Ada Pit Hitam Di Kamar Ibo,"Rp.28,000 ","
          Nama tokoh utama dalam cerita ini adalah Ibo. Ibo, seorang bocah yang jahil dan punya rasa ingin tahu sangat tinggi. Pada malam natal, Ibo sudah memasang jebakan buat Santa Claus. Ia ingin melihat wajah Santa berlumuran bedak karena jebakan Ibo. Akan tetapi, yang masuk di kamar Ibo adalah sahabat Santa, si Pit Hitam. Wajah Pit jadi putih belepotan bedak dan ada ember tersangkut di kepalanya. Ibo lantas dimasukin ke dalam karung. Ibo dibawa berkelana oleh Pit Hitam dan Ibo diajak melaksanakan misi oleh Pit Hitam.        ","{'Kategori': 'Buku Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '21 Halaman', 'Dimensi': '20 x 20 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Scritto Books', 'Berat': '200 gram', 'Product Tags': ' \nScritto Books\n\n'}",https://www.solusibuku.com/buku-anak/ada-pit-hitam-di-kamar-ibo.html
263,Aktivitas Cerdas Anak Usia Emas Smart Kids,"Rp.71,200 ","
          Buku ini memuat aktivitas bermain sambil belajar untuk anak usia dini. Kegiatan buku ini adalah menulis, membaca, menghintung, menempel, menalar, menggambar, dan mewarnai. Lewat buku ini, anak-anak akan diajak beraktivitas menantang sekaligus menyenangkan. Ditambah dengan gambar yang lucu dan jenaka dari tema buah-buahan, diharapkan buku ini dapat mengembangkan kemampuan kognitif dan motorik anak. Selamat bermain!        ","{'Kategori': 'Buku Anak', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '100 Halaman', 'Dimensi': '28 x 21 cm', 'Bahasa': 'Bahasa Indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Supala Cemerlang', 'Penulis': 'Kak Theo', 'Berat': '350 gram', 'Product Tags': ' \nSupala Cemerlang\n\n'}",https://www.solusibuku.com/buku-anak/aktivitas-cerdas-anak-usia-emas-smart-kids.html
