,nama,harga,deskripsi,detail,link gambar,link
20,Diary Kocak Wanna One Sejumlah Kisah Unik Gokil Dan Konyol,"Rp.47,200 ","
          Buku ini akan membantu Wannable untuk membuka kenangan- kenangan yang lucu, seru dan bahagia bersama seluruh member Wanna One. Selain itu, Wanna One ingin memastikan bahwa Wannable harus tetap tertawa bahagia meski dunia sudah berbeda.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '252 halaman', 'Dimensi': '19.5x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Wenny S. Widjana', 'Berat': '400 gram', 'Product Tags': ' \naraska publisher\nbuku hobi\nhobi\nwenny s widjana\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide10-cr-500x500.jpeg,https://www.solusibuku.com/hobi/diary-kocak-wanna-one-sejumlah-kisah-unik-gokil-dan-konyol.html
21,Kreasi Super Unik Bunga Dari Kain Dan Pita,"Rp.46,400 ","
          Buku ini berisi cara kreativitas membuat kreasi bunga dari kain dan Pita.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '80 halaman', 'Dimensi': '24x17.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Yustina Sri Rahayu Hanuratih', 'Berat': '400 gram', 'Product Tags': ' \nbuku hobi\nc-klik media\nhobi\nyustina sri rahayu hanuratih\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide12-cr-500x500.jpeg,https://www.solusibuku.com/hobi/kreasi-super-unik-bunga-dari-kain-dan-pita.html
22,Top Hits Memories,"Rp.60,000 ","
          Buku ini menyajikan lagu-lagu hits pada masanya; When The Children Cry, Especially For You, Love Story, dll.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '140 halaman', 'Dimensi': '29x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Adi Jarot Pamungkas', 'Berat': '400 gram', 'Product Tags': ' \nadi jarot pamungkas\nbuku hobi\nc-klik media\nhobi\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide17-cr-500x500.jpeg,https://www.solusibuku.com/hobi/top-hits-memories.html
23,Musik Anak Jaman Now,"Rp.51,200 ","
          Buku ini menyajikan lagu anak-anak terbaik masa kiniyang sedang hits diantaranya : ABC Song, Baby Shark, Johny-johny Yes papa, Peek A Boo, Bunda, lagu Cinta untuk mama, Dll.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '90 halaman', 'Dimensi': '29x21 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Yanita', 'Penulis': 'Kiki Laisa', 'Berat': '400 gram', 'Product Tags': ' \nbuku hobi\nhobi\nkiki laisa\nyanita\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide22-cr-500x500.jpeg,https://www.solusibuku.com/hobi/musik-anak-jaman-now.html
24,Bts Today We Fight,"Rp.100,000","
          Buku ini berisi perjalanan hidup atau biografi anggota boy band BTS.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '364 halaman', 'Dimensi': '21x14 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Aria Media Mandiri', 'Penulis': 'Shifra Lushka', 'Berat': '400 gram', 'Product Tags': ' \naria media mandiri\nbuku hobi\nhobi\nshifra lushka\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide27-cr-500x500.jpeg,https://www.solusibuku.com/hobi/bts-today-we-fight.html
25,Piano Songs 10 For Beginners,"Rp.60,000 ","
          Buku ini berisikan kumpulan lagu bagi mereka yang sedang belajar piano.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '105 halaman', 'Dimensi': '29.5x20.5 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Amazing Books', 'Penulis': 'Amazing Music', 'Berat': '400 gram', 'Product Tags': ' \namazing books\namazing music\nbuku hobi\nhobi\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide28-cr-500x500.jpeg,https://www.solusibuku.com/hobi/piano-songs-10-for-beginners.html
26,Btob The Biggest Mood Ever,"Rp.44,000 ","
Novel ini bercerita tentang BTOB The biggest Mood ever, fanfic tentang tingkah laku konyol BTOB dan perjalanan BTOB mencapai kesuksesan tiap albumnya.
","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '132 halaman', 'Dimensi': '19x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Aria Media Mandiri', 'Penulis': 'Diviana90', 'Berat': '400 gram', 'Product Tags': ' \naria media mandiri\nbuku hobi\ndiviana90\nhobi\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide29-cr-500x500.jpeg,https://www.solusibuku.com/hobi/btob-the-biggest-mood-ever.html
27,Edisi Istimewa  Kumpulan Lagu Wajib Nasional Dan Daerah,"Rp.60,000 ","
          Buku ini berisikan kumpulan lagu wajib nasional dan daerah yang ditulisa dalam bentuk not balok dan dilengkapi dengan lirik, not angka, dn akar. Para pembaca bisa memainkan lagu-lagu tersebut dengan menggunakan berbagai alat musik, seperti piano, gitar, suling, pianika, dan sebagainya. Cocok untuk pelajar atau siapapun yang menyukai musik dan ingin melestarikan lagu wajib nasional serta daerah.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '172 halaman', 'Dimensi': '26x19 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Penerbit Briliant', 'Penulis': 'Hendri C. Wibowo', 'Berat': '400 gram', 'Product Tags': ' \nbuku hobi\nhendri c wibowo\nhobi\npenerbit briliant\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide35-cr-500x500.jpeg,https://www.solusibuku.com/hobi/edisi-istimewa-kumpulan-lagu-wajib-nasional-dan-daerah.html
28,Bts Off The Record,"Rp.44,800 ","
          Bicara BTS itu tidak pernah ada matinya. Selalu saja ada yang bisa diberitakan menjadi kabar. Termasuk kisah-kisah OFF THE RECORD yang tidak pernah muncul di media massa, kini diumbar oleh Angelina dalam bukunya ini. Ada peristiwa mengharukan yang dijamin membuat ari mata meleleh. Ada sedikit kelucuan yang bakal membuat tertawa. Dan, banyak cinta yang disajikan indah oleh BTS hanya untuk ARMY. Kamu akan mengenal lebih dalam gaya dan karakter member-member BTS yang mengagumkan. Hal yang terpenting adalah kamu bakal menikmati eratnya rasa kekeluargaan mereka semasa berjuang meraih cita-cita bersama.        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '260 halaman', 'Dimensi': '19.5x13 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'Araska Publisher', 'Penulis': 'Angelica Min', 'Berat': '400 gram', 'Product Tags': ' \nangelica min\naraska publisher\nbuku hobi\nhobi\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide40-cr-500x500.jpeg,https://www.solusibuku.com/hobi/bts-off-the-record.html
29,Boys Be Seventeen A To Z Fact,"Rp.79,200 ","
          Untuk menjadi seperti sekarang, perjalanan SEVENTEEN mengalami banyak tantangan. Suka dan duka sering mereka alami. Nah, buku ini akan mengupas perjalanan SEVENTEEN mulai dari pre-debut hingga sekarang. Tahukan kamu bahwa S. Coups pernah tidak sengaja menjatuhkan makanannya, tetapi tetap memakan makanannya ketika tampil di salah satu reality show? Joshua menyukai anime, terutama ""One Piecce"", ""Naruto"", dan ""Bleach""? Mingyu adalah anggota paling berisik di asrama? DK mengaku belum pernah pacaran? Masih banyak lagi fakta dan keunikan SEVENTEEN yang bisa kamu kepoin dalam buku ini. Sebab, tidak hanya tampang yang ganteng maksimal, mereka juga mempunyai banyak prestasi! So recommended for Carat!        ","{'Kategori': 'Hobi', 'Penyunting': 'Tim Penyunting', 'Ketebalan': '140 halaman', 'Dimensi': '17x24 cm', 'Bahasa': 'bahasa indonesia', 'Stock': 'Tersedia', 'Penerbit': 'C-Klik Media', 'Penulis': 'Kyla Jung', 'Berat': '400 gram', 'Product Tags': ' \nbuku hobi\nc-klik media\nhobi\nkyla jung\n\n'}",https://www.solusibuku.com/image/c/data/produk/smm/Slide44-cr-500x500.jpeg,https://www.solusibuku.com/hobi/boys-be-seventeen-a-to-z-fact.html
